layer_name,input,kv_cache,tp_size,latency(ns)
post_layernorm,26,0,4,8169
gate,26,0,4,74457
expert.w1,26,0,4,16456
expert.w3,26,0,4,16034
act_fn,26,0,4,3911
expert.w2,26,0,4,14189
final_layernorm,26,0,4,8051
lm_head,26,0,4,100745
embedding,27,0,4,3927
input_layernorm,27,0,4,7892
q_proj,27,0,4,12664
k_proj,27,0,4,6626
v_proj,27,0,4,6123
rope,27,0,4,22650
o_proj,27,0,4,13510
post_layernorm,27,0,4,8158
gate,27,0,4,74771
expert.w1,27,0,4,16454
expert.w3,27,0,4,15973
act_fn,27,0,4,3797
expert.w2,27,0,4,14159
final_layernorm,27,0,4,8066
lm_head,27,0,4,100226
embedding,28,0,4,3919
input_layernorm,28,0,4,7900
q_proj,28,0,4,12678
k_proj,28,0,4,6638
v_proj,28,0,4,6106
rope,28,0,4,22723
o_proj,28,0,4,13560
post_layernorm,28,0,4,8176
gate,28,0,4,74229
expert.w1,28,0,4,14918
expert.w3,28,0,4,14690
act_fn,28,0,4,4016
expert.w2,28,0,4,14205
final_layernorm,28,0,4,8073
lm_head,28,0,4,100204
embedding,29,0,4,3978
input_layernorm,29,0,4,7924
q_proj,29,0,4,12828
k_proj,29,0,4,6635
v_proj,29,0,4,6105
rope,29,0,4,22693
o_proj,29,0,4,13497
post_layernorm,29,0,4,8167
gate,29,0,4,74995
expert.w1,29,0,4,15084
expert.w3,29,0,4,14744
act_fn,29,0,4,3995
expert.w2,29,0,4,14307
final_layernorm,29,0,4,8036
lm_head,29,0,4,100735
embedding,30,0,4,3973
input_layernorm,30,0,4,7921
q_proj,30,0,4,12722
k_proj,30,0,4,6645
v_proj,30,0,4,6110
rope,30,0,4,22712
o_proj,30,0,4,13530
post_layernorm,30,0,4,8234
gate,30,0,4,74581
expert.w1,30,0,4,15165
expert.w3,30,0,4,14684
act_fn,30,0,4,3974
expert.w2,30,0,4,14090
final_layernorm,30,0,4,8046
lm_head,30,0,4,100914
embedding,31,0,4,4001
input_layernorm,31,0,4,7918
q_proj,31,0,4,12702
k_proj,31,0,4,6630
v_proj,31,0,4,6127
rope,31,0,4,22633
o_proj,31,0,4,13564
post_layernorm,31,0,4,8205
gate,31,0,4,75119
expert.w1,31,0,4,15197
expert.w3,31,0,4,14742
act_fn,31,0,4,4046
expert.w2,31,0,4,14244
final_layernorm,31,0,4,8072
lm_head,31,0,4,100318
embedding,32,0,4,4168
