time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,12800,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,12864,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,12928,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,12992,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13056,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13120,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13184,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13248,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13312,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13376,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13440,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13504,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13568,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13632,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13696,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13760,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13824,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13888,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,13952,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14016,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14080,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14144,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14208,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14272,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14336,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14400,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14464,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14528,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14592,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14656,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14720,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14784,False,EDF_PROFILER
,,,,,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.006494059000000001,0.0,4096,32,8,2,131072,143,0,14848,False,EDF_PROFILER
