timestamp,index,utilization.gpu,power.draw,memory.used
2026/06/19 10:02:10.112, 2, 0, 24.60, 0
2026/06/19 10:02:10.119, 3, 0, 24.21, 0
2026/06/19 10:02:10.125, 4, 0, 23.78, 0
2026/06/19 10:02:10.132, 5, 0, 14.94, 0
2026/06/19 10:02:10.142, 6, 0, 14.71, 0
2026/06/19 10:02:10.149, 7, 0, 14.79, 0
2026/06/19 10:02:11.155, 0, 0, 24.27, 0
2026/06/19 10:02:11.162, 1, 0, 24.26, 0
2026/06/19 10:02:11.169, 2, 0, 24.65, 0
2026/06/19 10:02:11.176, 3, 0, 24.26, 0
2026/06/19 10:02:11.183, 4, 0, 23.83, 0
2026/06/19 10:02:11.190, 5, 0, 14.90, 0
2026/06/19 10:02:11.199, 6, 0, 18.37, 0
2026/06/19 10:02:11.206, 7, 0, 14.79, 0
2026/06/19 10:02:12.213, 0, 0, 24.27, 0
2026/06/19 10:02:12.221, 1, 0, 24.26, 0
2026/06/19 10:02:12.228, 2, 0, 24.70, 0
2026/06/19 10:02:12.235, 3, 0, 24.22, 0
2026/06/19 10:02:12.242, 4, 0, 23.78, 0
2026/06/19 10:02:12.249, 5, 0, 14.70, 0
2026/06/19 10:02:12.259, 6, 0, 18.51, 0
2026/06/19 10:02:12.266, 7, 0, 14.94, 0
2026/06/19 10:02:13.273, 0, 0, 24.22, 0
2026/06/19 10:02:13.280, 1, 0, 24.21, 0
2026/06/19 10:02:13.287, 2, 0, 24.70, 0
2026/06/19 10:02:13.294, 3, 0, 24.22, 0
2026/06/19 10:02:13.301, 4, 0, 23.73, 0
2026/06/19 10:02:13.308, 5, 0, 14.99, 0
2026/06/19 10:02:13.318, 6, 0, 14.86, 0
2026/06/19 10:02:13.325, 7, 0, 15.23, 0
2026/06/19 10:02:14.332, 0, 0, 24.22, 0
2026/06/19 10:02:14.342, 1, 0, 24.11, 0
2026/06/19 10:02:14.349, 2, 0, 24.75, 0
2026/06/19 10:02:14.356, 3, 0, 24.22, 0
2026/06/19 10:02:14.362, 4, 0, 23.83, 0
2026/06/19 10:02:14.370, 5, 0, 15.34, 0
2026/06/19 10:02:14.380, 6, 0, 14.81, 0
2026/06/19 10:02:14.387, 7, 0, 15.28, 0
2026/06/19 10:02:15.394, 0, 0, 24.17, 0
2026/06/19 10:02:15.401, 1, 0, 24.02, 0
2026/06/19 10:02:15.409, 2, 0, 24.70, 0
2026/06/19 10:02:15.417, 3, 0, 24.22, 0
2026/06/19 10:02:15.424, 4, 0, 23.93, 0
2026/06/19 10:02:15.432, 5, 0, 15.04, 0
2026/06/19 10:02:15.442, 6, 0, 14.85, 0
2026/06/19 10:02:15.450, 7, 0, 15.13, 0
2026/06/19 10:02:16.457, 0, 0, 24.13, 0
2026/06/19 10:02:16.464, 1, 0, 24.02, 0
2026/06/19 10:02:16.472, 2, 0, 24.60, 0
2026/06/19 10:02:16.479, 3, 0, 24.31, 0
2026/06/19 10:02:16.487, 4, 0, 23.88, 0
2026/06/19 10:02:16.494, 5, 0, 14.75, 0
2026/06/19 10:02:16.504, 6, 0, 14.85, 0
2026/06/19 10:02:16.512, 7, 0, 14.99, 0
2026/06/19 10:02:17.519, 0, 0, 24.18, 0
2026/06/19 10:02:17.526, 1, 0, 24.16, 0
2026/06/19 10:02:17.534, 2, 0, 24.60, 0
2026/06/19 10:02:17.541, 3, 0, 24.31, 0
2026/06/19 10:02:17.549, 4, 0, 23.83, 0
2026/06/19 10:02:17.556, 5, 0, 15.04, 0
2026/06/19 10:02:17.568, 6, 0, 14.71, 0
2026/06/19 10:02:17.575, 7, 0, 14.85, 0
2026/06/19 10:02:18.583, 0, 0, 24.27, 0
2026/06/19 10:02:18.591, 1, 0, 24.26, 0
2026/06/19 10:02:18.598, 2, 0, 24.60, 0
2026/06/19 10:02:18.605, 3, 0, 24.26, 0
2026/06/19 10:02:18.612, 4, 0, 23.83, 0
2026/06/19 10:02:18.620, 5, 0, 15.09, 0
2026/06/19 10:02:18.631, 6, 0, 14.91, 0
2026/06/19 10:02:18.639, 7, 0, 14.65, 0
2026/06/19 10:02:19.646, 0, 0, 24.22, 0
2026/06/19 10:02:19.653, 1, 0, 24.16, 0
2026/06/19 10:02:19.661, 2, 0, 24.65, 0
2026/06/19 10:02:19.668, 3, 0, 24.17, 0
2026/06/19 10:02:19.675, 4, 0, 23.83, 0
2026/06/19 10:02:19.682, 5, 0, 14.65, 0
2026/06/19 10:02:19.693, 6, 0, 15.05, 0
2026/06/19 10:02:19.701, 7, 0, 14.84, 0
2026/06/19 10:02:20.708, 0, 0, 24.12, 0
2026/06/19 10:02:20.715, 1, 0, 24.36, 0
2026/06/19 10:02:20.723, 2, 0, 24.70, 0
2026/06/19 10:02:20.730, 3, 0, 24.18, 0
2026/06/19 10:02:20.737, 4, 0, 23.88, 0
2026/06/19 10:02:20.744, 5, 0, 17.88, 0
2026/06/19 10:02:20.756, 6, 0, 14.91, 0
2026/06/19 10:02:20.763, 7, 0, 15.72, 0
2026/06/19 10:02:21.770, 0, 0, 24.12, 0
2026/06/19 10:02:21.778, 1, 0, 24.02, 0
2026/06/19 10:02:21.785, 2, 0, 24.70, 0
2026/06/19 10:02:21.792, 3, 0, 24.17, 0
2026/06/19 10:02:21.799, 4, 0, 23.88, 0
2026/06/19 10:02:21.806, 5, 0, 18.22, 0
2026/06/19 10:02:21.817, 6, 0, 14.91, 0
2026/06/19 10:02:21.824, 7, 0, 15.38, 0
2026/06/19 10:02:22.832, 0, 0, 24.17, 0
2026/06/19 10:02:22.839, 1, 0, 30.85, 0
2026/06/19 10:02:22.846, 2, 0, 24.94, 0
2026/06/19 10:02:22.853, 3, 0, 24.37, 0
2026/06/19 10:02:22.860, 4, 0, 23.83, 0
2026/06/19 10:02:22.866, 5, 0, 14.90, 0
2026/06/19 10:02:22.878, 6, 0, 14.95, 0
2026/06/19 10:02:22.885, 7, 0, 14.98, 0
2026/06/19 10:02:23.892, 0, 0, 24.22, 0
2026/06/19 10:02:23.899, 1, 0, 27.49, 0
2026/06/19 10:02:23.906, 2, 0, 24.90, 0
2026/06/19 10:02:23.913, 3, 0, 24.42, 0
2026/06/19 10:02:23.920, 4, 0, 23.78, 0
2026/06/19 10:02:23.927, 5, 0, 15.14, 0
2026/06/19 10:02:23.937, 6, 0, 14.91, 0
2026/06/19 10:02:23.943, 7, 0, 15.13, 0
2026/06/19 10:02:24.951, 0, 0, 24.22, 0
2026/06/19 10:02:24.962, 1, 0, 24.11, 0
2026/06/19 10:02:24.969, 2, 0, 24.60, 0
2026/06/19 10:02:24.976, 3, 0, 24.32, 0
2026/06/19 10:02:24.982, 4, 0, 23.83, 0
2026/06/19 10:02:24.989, 5, 0, 14.90, 0
2026/06/19 10:02:24.999, 6, 0, 14.81, 0
2026/06/19 10:02:25.006, 7, 0, 14.98, 0
2026/06/19 10:02:26.013, 0, 0, 24.22, 0
2026/06/19 10:02:26.020, 1, 0, 24.16, 0
2026/06/19 10:02:26.027, 2, 0, 32.31, 0
2026/06/19 10:02:26.034, 3, 0, 26.07, 0
2026/06/19 10:02:26.040, 4, 0, 23.83, 0
2026/06/19 10:02:26.047, 5, 0, 14.85, 0
2026/06/19 10:02:26.057, 6, 0, 14.76, 0
2026/06/19 10:02:26.064, 7, 0, 14.74, 0
2026/06/19 10:02:27.071, 0, 0, 24.18, 0
2026/06/19 10:02:27.078, 1, 0, 24.16, 0
2026/06/19 10:02:27.085, 2, 0, 28.50, 0
2026/06/19 10:02:27.092, 3, 0, 25.92, 0
2026/06/19 10:02:27.099, 4, 0, 23.88, 0
2026/06/19 10:02:27.105, 5, 0, 15.24, 0
2026/06/19 10:02:27.115, 6, 0, 16.27, 0
