timestamp,index,name,utilization.gpu,power.draw,memory.used
2026/06/19 15:42:05.323, 0, NVIDIA A40, 0, 90.36, 1767
2026/06/19 15:42:05.827, 0, NVIDIA A40, 0, 90.36, 1767
2026/06/19 15:42:06.330, 0, NVIDIA A40, 0, 83.67, 1767
2026/06/19 15:42:06.833, 0, NVIDIA A40, 0, 83.67, 1767
2026/06/19 15:42:07.337, 0, NVIDIA A40, 0, 83.68, 1767
2026/06/19 15:42:07.840, 0, NVIDIA A40, 0, 83.68, 1767
2026/06/19 15:42:08.343, 0, NVIDIA A40, 0, 83.78, 1767
2026/06/19 15:42:08.847, 0, NVIDIA A40, 0, 83.78, 1767
2026/06/19 15:42:09.350, 0, NVIDIA A40, 0, 83.83, 1767
2026/06/19 15:42:09.853, 0, NVIDIA A40, 6, 94.25, 1767
2026/06/19 15:42:10.357, 0, NVIDIA A40, 0, 98.73, 1767
2026/06/19 15:42:10.860, 0, NVIDIA A40, 0, 91.17, 1767
2026/06/19 15:42:11.364, 0, NVIDIA A40, 0, 91.17, 1767
2026/06/19 15:42:11.867, 0, NVIDIA A40, 0, 83.64, 1767
2026/06/19 15:42:12.370, 0, NVIDIA A40, 0, 83.64, 1767
2026/06/19 15:42:12.874, 0, NVIDIA A40, 0, 83.66, 1767
2026/06/19 15:42:13.377, 0, NVIDIA A40, 0, 83.66, 1767
2026/06/19 15:42:13.880, 0, NVIDIA A40, 0, 83.72, 1767
2026/06/19 15:42:14.383, 0, NVIDIA A40, 0, 83.72, 1767
2026/06/19 15:42:14.887, 0, NVIDIA A40, 0, 86.05, 1767
2026/06/19 15:42:15.392, 0, NVIDIA A40, 1, 92.87, 1767
2026/06/19 15:42:15.896, 0, NVIDIA A40, 0, 97.02, 1767
2026/06/19 15:42:16.399, 0, NVIDIA A40, 0, 91.02, 1767
2026/06/19 15:42:16.903, 0, NVIDIA A40, 0, 91.02, 1767
2026/06/19 15:42:17.406, 0, NVIDIA A40, 0, 83.78, 1767
2026/06/19 15:42:17.909, 0, NVIDIA A40, 0, 83.78, 1767
2026/06/19 15:42:18.412, 0, NVIDIA A40, 0, 83.74, 1767
2026/06/19 15:42:18.916, 0, NVIDIA A40, 0, 83.74, 1767
2026/06/19 15:42:19.419, 0, NVIDIA A40, 0, 83.79, 1767
2026/06/19 15:42:19.922, 0, NVIDIA A40, 0, 83.79, 1767
2026/06/19 15:42:20.425, 0, NVIDIA A40, 0, 84.85, 361
2026/06/19 15:42:20.929, 0, NVIDIA A40, 0, 84.83, 361
2026/06/19 15:42:21.432, 0, NVIDIA A40, 0, 85.49, 0
2026/06/19 15:42:21.935, 0, NVIDIA A40, 0, 85.34, 0
2026/06/19 15:42:22.438, 0, NVIDIA A40, 0, 85.30, 0
2026/06/19 15:42:22.941, 0, NVIDIA A40, 0, 85.30, 0
2026/06/19 15:42:23.447, 0, NVIDIA A40, 0, 63.92, 0
2026/06/19 15:42:23.950, 0, NVIDIA A40, 0, 63.92, 0
2026/06/19 15:42:24.454, 0, NVIDIA A40, 0, 61.56, 0
2026/06/19 15:42:24.957, 0, NVIDIA A40, 0, 61.56, 0
2026/06/19 15:42:25.461, 0, NVIDIA A40, 2, 70.80, 285
2026/06/19 15:42:25.964, 0, NVIDIA A40, 5, 75.71, 285
2026/06/19 15:42:26.467, 0, NVIDIA A40, 13, 88.49, 285
2026/06/19 15:42:26.971, 0, NVIDIA A40, 18, 92.77, 287
2026/06/19 15:42:27.474, 0, NVIDIA A40, 7, 92.07, 287
